PERÍODO,CÓDIGO,NOME,CH,REQ
2,FIS114,Física Prática I,30,---
2,MAC013,Representação Gráfica e Modelagem Geométrica,60,MAT155
2,MAT049,Álgebra Linear II,60,MAT155
2,MAT122,Geometria Plana,60,---
2,MAT133,Fundamentos de Matemática Elementar,60,---
2,MAT144,Matemática Discreta,60,---
2,MAT148,Matemática Escolar I,60,---
2,MAT158,Álgebra Linear,60,MAT155
2,MAT163,Exponenciais e Logaritmos,60,---
2,MAT164,Trigonometria,60,---
2,MEC001,Introdução à Engenharia Mecânica,30,---
2,MEC045,Ciência dos Materiais,30,QUI126
2,QUI087,Química Orgânica I,60,QUI125
2,QUI138,Introdução à Educação em Química,30,---
2,QUI143,Química dos Elementos,60,QUI125
2,CEL032,Circuitos Lógicos,60,DCC119 e DCC120
2,DCC107,Laboratório de Programação II,30,DCC119 e DCC120
2,DCC179,Laboratório de Ciência da Computação,30,---
2,EADMAT022,Informática no Ensino da Matemática,75,---
2,EPD046,Representação Gráfica I,30,---
2,EPD053,Empreendedorismo,30,---
2,EPD054,Tecnologia da Informação I,30,DCC119 e DCC120
2,EPD062,Desenho de Máquinas,30,---
2,EPD097,Engenharia e Sociedade,30,---
2,ESA002,Ecologia e Preservação do Ambiente,30,QUI125
2,FIS108,Complementos de Física I,30,---
3,FIS115,Física Prática II,30,FIS114
3,MAT024,Álgebra III,60,MAT143
3,MAT029,Equações Diferenciais I,60,MAT156
3,MAT059,Álgebra Linear III,60,MAT049
3,MAT119,Estruturas Algébricas,60,MAT143
3,MAT123,Geometria Espacial,60,MAT122
3,MAT147,Análise I,60,MAT133 e MAT156
3,MAT149,Matemática Escolar II,60,MAT148
3,MAT157,Cálculo III,60,MAT156
3,MAT162,Funções do Plano Complexo,60,MAT156
3,MAT166,Tópicos de Geometria,60,MAT122
3,MEC038,Dinâmica de Máquinas,60,EPD062
3,QUI056,Laboratório de Termodinâmica Química,30,MAT156 e QUI125
3,QUI079,Química Orgânica II,60,QUI087
3,QUI081,Laboratório de Química dos Elementos,30,QUI143
3,QUI084,Química das Soluções,60,QUI143
3,QUI088,Laboratório de Química Orgânica I,30,QUI087
3,QUI090,Análises Qualitativas,30,QUI143
3,QUI130,Termodinâmica Química,60,MAT156 e QUI125
3,QUI131,Estrutura Atômica e Molecular,60,FIS073
3,QUI133,Termodinâmica e Cinética,60,MAT156 e QUI125
3,QUI134,Laboratório de Termodinâmica e Cinética,30,MAT156 e QUI125
3,DCC008,Cálculo Numérico,60,"DCC119, DCC120 e MAT156"
3,ENE045,Laboratório de Eletrotécnica,30,FIS077 e QUI126
3,EST064,Laboratório de Estatística,30,EST028
3,FIS053,Física Matemática I,60,"FIS073, MAT156 e MAT158"
3,FIS074,Física II,60,FIS073 e MAT156
3,FIS078,Laboratório de Física II,30,"FIS073, FIS077 e MAT156"
3,FIS109,Complementos de Física II,30,FIS073
4,FIS111,Laboratório de Eletricidade e Eletrônica,30,FIS074 e MAT157
4,FIS116,Física Prática III,30,FIS115
4,FIS120,Física Computacional,60,DCC008 e MAT029
4,MAC010,Mecânica,60,FIS073 e MAT157
4,MAC024,Introdução à Modelagem Computacional,60,DCC008
4,MAC026,Introdução aos Métodos Discretos,60,DCC008 e MAT029
4,MAT025,Álgebra IV,60,MAT024
4,MAT030,Equações Diferenciais II,60,MAT029
4,MAT031,Introdução às Variáveis Complexas,60,MAT029
4,MAT152,Análise II,60,MAT147
4,MAT160,Matemática Escolar III,60,MAT149
4,MAT161,Introdução à Análise Matemática,60,MAT157
4,MEC017,Processos de Fabricação I,45,MEC045
4,MEC018,Laboratório de Processos de Fabricação I,15,MEC045
4,QUI009 (QUI509),Química Orgânica III,60,QUI079 e QUI088
4,QUI058,Laboratório de Equilíbrio e Cinética,30,QUI056 e QUI130
4,QUI080,Laboratório de Química Orgânica II,30,QUI079 e QUI088
4,QUI091,Química de Coordenação,60,QUI131 e QUI143
4,QUI092,Laboratório de Química de Coordenação,30,QUI081 e QUI131
4,QUI094,Introdução à Análise Química,30,QUI084
4,QUI095,Análises Volumétricas,30,QUI084
4,QUI097,Equilíbrio e Cinética,60,QUI056 e QUI130
4,QUI146,Instrumentação para o Ensino de Química,60,MTE193 e QUI084
4,CEL033,Circuitos Lineares I,60,MAT029 e MAT158
4,ENE083,Fundamentos de Resistência dos Materiais,30,DCC008 e FIS073
4,ENE118,Informática Industrial,60,DCC008
4,ENE131,Expressão Gráfica para Engenharia Elétrica (Desenho Auxiliado por Computador),30,MAT157
4,EPD073,Metrologia,30,EST029
4,EST031,Cálculo de Probabilidade II,60,EST029 e MAT157
4,EST065,Estatística Computacional I,60,missing
4,FIS040,Mecânica Clássica I,60,FIS053 e MAT157
4,FIS052,Termodinâmica,60,FIS074
4,FIS054,Física Matemática II,60,FIS053 e MAT029
4,FIS081,Fenômenos de Transporte,60,FIS074
4,FIS110,Complementos de Física III,30,FIS074
5,FIS112,Óptica e Laser,60,FIS075
5,FIS113,Laboratório de Óptica e Laser,30,FIS075 e FIS111
5,FIS117,Física Prática IV,30,FIS116
5,MAC002,Resistência dos Materiais I,60,MAC010 e MAT029
5,MAC019,Representação Gráfica e Modelagem Geométrica,60,DCC008 e MAC010
5,MAT153,Análise III,60,"MAT049, MAT152 e MAT157"
5,MAT167,Espaços Métricos,60,MAT152
5,MEC010,Transferência de Calor,60,FIS052
5,MEC019,Processos de Fabricação II,45,MEC017
5,MEC020,Laboratório de Processos de Fabricação II,15,MEC017 e MEC018
5,QUI017,Química Orgânica IV,60,QUI009
5,QUI059,Química Quântica,60,QUI097 e QUI131
5,QUI096,Tópicos em Química Inorgânica,60,QUI091
5,QUI110,Laboratório de Eletroquímica,30,QUI094 e QUI095
5,QUI116,Química do Meio Ambiente,30,QUI094 e QUI095
5,QUI122,História da Química,30,---
5,QUI128,Eletroquímica,45,QUI094 e QUI095
5,QUI137,Laboratório de Química e Saúde,30,QUI080
